"DEPARTAMENTO","MUNICIPIO","DIA","HORA","ZONA","ARMA EMPLEADA","MOVIL AGRESOR","MOVIL VICTIMA","EDAD","SEXO","CATEGORIA","CAPTURADO","ESTATURA_AGRESOR"
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Sábado",13:30:00,"URBANA","CONTUNDENTES","A PIE","A PIE",43,"MASCULINO","Medio","SI",155.7
"CASANARE","YOPAL (CT)","Viernes",00:00:00,"URBANA","CONTUNDENTES","A PIE","A PIE",37,"MASCULINO","Bajo","SI",156.4
"QUINDÍO","CALARCA","Miércoles",07:30:00,"URBANA","ARMA BLANCA","A PIE","A PIE",14,"MASCULINO","Muy Bajo","SI",174.2
"CAUCA","POPAYÁN (CT)","Jueves",14:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",47,"MASCULINO","Medio","SI",150.9
"SUCRE","SINCELEJO (CT)","Sábado",12:30:00,"URBANA","ARMA BLANCA","PASAJERO MOTOCICLETA","PASAJERO MOTOCICLETA",16,"FEMENINO","Muy Bajo","SI",152.7
"META","VILLAVICENCIO (CT)","Martes",12:10:00,"URBANA","ARMA BLANCA","A PIE","A PIE",59,"MASCULINO","Alto","NO",178
"HUILA","CAMPOALEGRE","Viernes",00:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",43,"MASCULINO","Medio","SI",192.5
"VALLE","CALI (CT)","Jueves",00:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",42,"MASCULINO","Medio","SI",181
"VALLE","PALMIRA","Viernes",19:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",79,"FEMENINO","Muy Alto","NO",173
"ANTIOQUIA","CAREPA","Martes",09:45:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",37,"FEMENINO","Bajo","SI",147.8
"RISARALDA","PEREIRA (CT)","Jueves",15:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",31,"FEMENINO","Bajo","SI",165.9
"VALLE","CALI (CT)","Viernes",22:00:00,"URBANA","ARMA BLANCA","A PIE","A PIE",35,"MASCULINO","Bajo","SI",171.5
"CALDAS","MANIZALES (CT)","Sábado",19:40:00,"URBANA","CONTUNDENTES","A PIE","A PIE",16,"MASCULINO","Muy Bajo","SI",138.7
"ANTIOQUIA","MEDELLÍN (CT)","Sábado",01:00:00,"URBANA","ARMA BLANCA","A PIE","A PIE",41,"MASCULINO","Medio","SI",167
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves",07:00:00,"URBANA","SIN EMPLEO DE ARMAS","PASAJERO BUS","PASAJERO BUS",18,"FEMENINO","Muy Bajo","SI",177.3
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Lunes",02:00:00,"URBANA","CONTUNDENTES","A PIE","A PIE",31,"MASCULINO","Bajo","SI",207.8
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles",02:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",31,"FEMENINO","Bajo","SI",184.4
"HUILA","NEIVA (CT)","Domingo",02:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","VEHICULO",22,"MASCULINO","Bajo","SI",168.1
"NARIÑO","PASTO (CT)","Jueves",14:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","CONDUCTOR MOTOCICLETA",48,"FEMENINO","Medio","SI",187.8
"ATLÁNTICO","BARRANQUILLA (CT)","Jueves",11:30:00,"URBANA","ARMA DE FUEGO","CONDUCTOR MOTOCICLETA","A PIE",57,"FEMENINO","Medio","NO",147
"NARIÑO","PASTO (CT)","Sábado",11:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",31,"FEMENINO","Bajo","SI",158.8
"VALLE","CALI (CT)","Viernes",23:50:00,"URBANA","ARMA DE FUEGO","A PIE","A PIE",24,"MASCULINO","Bajo","SI",163.9
